,eid,startTime,endTime,lat,lon,v1MMSI,v2MMSI
38,45e99dedb7d9a6bf0e06d4825f10ef9f.1,2022-04-19 21:00:00 UTC,2022-04-20 05:30:00 UTC,54.139534053953,155.45866807232903,273358410,273394950
39,991623a9586333b3dfa1e4568b463396.1,2019-06-10 07:20:00 UTC,2019-06-10 11:40:00 UTC,57.85344069695,151.66105807615,273358410,273444180
40,116279cad3b98164e77512147bd63c0a.1,2020-10-03 10:20:00 UTC,2020-10-03 18:10:00 UTC,51.16649979791613,156.04970742054385,273358410,273397860
41,9cf27fb8a4203527345fac0f8be0db3e.1,2018-11-15 02:00:00 UTC,2018-11-15 04:50:00 UTC,58.99617513765001,147.681098582,273358410,273527500
42,b8f444788ebb899f585cfb2845c24422.1,2016-01-23 16:40:00 UTC,2016-01-23 23:50:00 UTC,57.79686139775,150.05488448629998,273358410,273442420
43,d2983d4145f112f74d6cee77c925e71e.1,2020-01-24 02:20:00 UTC,2020-01-25 15:00:00 UTC,56.14303158421462,146.63748862354154,273358410,273451840
44,9a058ef7721de87f473fc8f763fb2171.1,2020-03-31 02:10:00 UTC,2020-04-01 09:40:00 UTC,56.6571746831682,151.2831918045667,273358410,273849910
45,ab053fddb793e345c1aff8b886e64f17.1,2013-08-20 03:10:00 UTC,2013-08-20 05:50:00 UTC,46.49857639245,142.4524195363,273358410,273423800
46,af6d07ab632675be5199b2f59fab93c3.1,2020-02-12 20:40:00 UTC,2020-02-13 06:40:00 UTC,55.266125097211926,155.15809672267707,273358410,273435010
47,89a9d1eab42d66d6f755bfb19f74ab14.1,2021-05-24 00:10:00 UTC,2021-05-24 08:50:00 UTC,51.06533414707127,154.09328986785172,273358410,273398450
48,3b2340677a50d9bbf31b161436c561bf.1,2018-04-20 10:00:00 UTC,2018-04-20 23:50:00 UTC,60.288343036264486,169.24074794330215,273358410,273436440
49,6f60f16850eda82729f255398c17850b.1,2019-11-19 19:50:00 UTC,2019-11-20 03:00:00 UTC,51.59453086974286,156.4054026667214,273358410,273399670
50,3dc276c5b85c7f1ae99893b1bca770c6.1,2021-11-18 00:00:00 UTC,2021-11-18 03:10:00 UTC,43.9083361748,146.1400469143,273358410,273290040
51,a8cfa8e3b806934826881e3737b7c5ef.1,2018-11-20 06:30:00 UTC,2018-11-20 16:20:00 UTC,51.87858798225,155.3913540368,273358410,273849910
52,536db18024a2f716cd9c52681ff53a8d.1,2020-05-17 19:40:00 UTC,2020-05-17 21:50:00 UTC,57.33984750035,150.3994659188,273358410,273216420
53,6538384a8b415abc0c5053241f0a68a0.1,2022-08-17 17:40:00 UTC,2022-08-18 19:00:00 UTC,62.33111612535934,177.83779640710983,273358410,273290040
54,eb06a1b8ece5ca2a83533e24552c8db4.1,2018-11-16 06:50:00 UTC,2018-11-16 23:50:00 UTC,58.92450693108293,147.2454734700851,273358410,273814610
55,1ced214b1eafd731af6aa5a9486e0d3a.1,2018-05-07 17:40:00 UTC,2018-05-07 23:00:00 UTC,62.40135417409787,178.21722926235546,273358410,273893200
56,d6f19ea5ddb4bb60860bcd6a22c6d1c9.1,2022-08-10 00:00:00 UTC,2022-08-11 08:30:00 UTC,63.441963216715926,179.47935933569266,273358410,273451840
57,edd95a99bdd276c275963b51e88c0685.1,2019-07-22 00:00:00 UTC,2019-07-22 23:50:00 UTC,60.15525368539032,165.51154266914406,273358410,273399670
58,8f03bb85e32362f4af2d7ce7f7b02bbe.1,2022-08-09 00:30:00 UTC,2022-08-09 22:20:00 UTC,63.44881057940949,179.4777063930512,273358410,413236000
59,428abf755e4e8e7240f38f5fe030ef69.1,2013-08-21 21:50:00 UTC,2013-08-22 11:10:00 UTC,46.58426917175333,142.53242380015251,273358410,273447080
60,e028f8ef1d92b74b2d9769e9a26ac412.1,2019-10-04 21:00:00 UTC,2019-10-05 11:10:00 UTC,58.42878747269516,151.70078652154794,273358410,273819000
61,40dc8af9ee4c779da431eeb20c7899e4.1,2021-07-19 19:30:00 UTC,2021-07-19 23:30:00 UTC,59.2318961714,164.0006324476,273358410,273895110
62,7b53afad4235875d3329cacbc14b8bdc.1,2021-07-18 16:40:00 UTC,2021-07-19 11:50:00 UTC,59.23357256071455,163.99946868639228,273358410,273438500
63,764c52ac0be1b8dd54c88502c5edc15d.1,2015-07-17 11:50:00 UTC,2015-07-17 15:00:00 UTC,49.14583372890001,155.1824685377,273358410,273896000
64,f39ea2f3adff4b434183130768d339d8.1,2019-07-24 08:10:00 UTC,2019-07-25 13:40:00 UTC,58.11300874037447,162.10113815606525,273358410,273451840
65,2521de258261388ce394c10e88040003.1,2019-05-10 18:20:00 UTC,2019-05-11 11:40:00 UTC,57.760867526404624,148.91129204740287,273358410,273351500
66,6ecc2ff8a59e354b56fd02e60922afd2.1,2018-05-01 17:40:00 UTC,2018-05-01 21:40:00 UTC,62.2883813933,177.7864081508,273358410,273351500
67,f7b9fa98df3cafcc2f3a3f5ac1d5fb24.1,2018-04-24 06:40:00 UTC,2018-04-24 13:20:00 UTC,60.39745296562414,169.50349480218964,273358410,273421700
68,dd493a6aab9e94cbf94d951849da7deb.1,2022-10-05 01:30:00 UTC,2022-10-05 10:30:00 UTC,58.95602435575,148.02105856375,273358410,273313640
69,e134c8c4753a1245c63cfd1672d8e895.1,2018-03-17 21:10:00 UTC,2018-03-19 23:50:00 UTC,56.5469733315789,151.32438328466148,273358410,273876000
70,2b203cc5b6d44b2f340536dda942db1b.1,2022-10-16 07:00:00 UTC,2022-10-17 14:30:00 UTC,51.06209267350625,156.0225554302229,273358410,273411800
71,ace665ecef8418033cbde97b2b6ec90d.1,2015-03-10 21:00:00 UTC,2015-03-11 12:20:00 UTC,56.981454309020336,155.9460774083264,273358410,273447080
72,5c8d779cc9c28860edbdf5fc1dbc26e5.1,2019-07-17 14:10:00 UTC,2019-07-17 18:20:00 UTC,59.53725786954652,163.3345692810419,273358410,273319630
73,4b7bd91023d68111b1929759851489ac.1,2019-11-25 00:00:00 UTC,2019-11-25 14:20:00 UTC,57.81371746235882,157.168405492283,273358410,273840400
74,8da5af22141e540f37a4a6687a529f34.1,2018-03-01 10:00:00 UTC,2018-03-02 02:00:00 UTC,58.25904844562682,154.3163550416647,273358410,273353060
75,339273c3740f7d41d66a9606bd897b8e.1,2019-06-10 21:50:00 UTC,2019-06-11 08:10:00 UTC,57.09669668490182,148.61436484905963,273358410,273436430
76,7e10ce0917bb16d6872f9bcae468f3ce.1,2018-04-22 12:30:00 UTC,2018-04-23 17:30:00 UTC,60.39817790685806,169.50345271409768,273358410,273347730
77,5b97475a4e953efa617c6dead7c0b92d.1,2019-06-02 09:20:00 UTC,2019-06-02 16:50:00 UTC,55.0843709978,151.0965939675639,273358410,273828600
78,f2d06d17c2f653480a840e251544e982.1,2018-01-15 03:10:00 UTC,2018-01-16 14:40:00 UTC,57.04016001287968,154.54760263523033,273358410,273448750
79,6b6607dd7ed1194c0c8b427c2db37cb3.1,2021-03-12 00:00:00 UTC,2021-03-12 14:30:00 UTC,54.67998458551748,150.9511955809126,273358410,273841610
80,89aa3ab649b6031b0961a8f332aec37d.1,2018-05-06 07:50:00 UTC,2018-05-06 23:50:00 UTC,62.0282996902,176.25550270300002,273358410,273435700
81,fbb22e93dcdbc147c773e97ed099284a.1,2016-01-14 00:00:00 UTC,2016-01-14 16:30:00 UTC,56.18563652216611,142.28778834163188,273358410,273441610
82,f18e32d83f5e5bbf6de8e05aa0ee4019.1,2019-05-05 08:10:00 UTC,2019-05-05 13:40:00 UTC,55.1170709494,146.59281294879997,273358410,273370230
83,9438a1d1745e4f3a52aee77574031e98.1,2019-09-28 01:30:00 UTC,2019-09-28 09:50:00 UTC,58.4610372594,152.25260420485,273358410,273842300
84,fd84f8a935c6f15dbc354d1589d773a6.1,2019-09-22 21:10:00 UTC,2019-09-23 05:20:00 UTC,54.042818666019045,155.23687474451015,273358410,273388860
85,4456f0a0707ed1b350310a87df4fc42e.1,2021-05-21 08:40:00 UTC,2021-05-21 16:10:00 UTC,49.94503688004576,155.76675763147625,273358410,273433540
86,332f3f22cefd08f6934193d70dabb475.1,2019-10-01 17:50:00 UTC,2019-10-02 03:40:00 UTC,58.6062569503138,157.26584435624846,273358410,273849000
87,a22bf0382d2c807d7cdfe979c5c5fe47.1,2021-07-11 04:30:00 UTC,2021-07-11 06:50:00 UTC,51.04287035995,153.1131910668,273358410,273398450
88,7c7651878b0fd6ce9ff2595703a6cc2a.1,2019-10-13 20:30:00 UTC,2019-10-14 03:00:00 UTC,59.51926403210526,155.9128299775842,273358410,273444180
89,e52dcafe30e158013643453e609e0e64.1,2019-06-05 11:00:00 UTC,2019-06-05 17:10:00 UTC,57.95466760065,152.77830663005,273358410,273388860
90,aba0940f5d9aea84d07a614911010f8b.1,2019-05-13 12:40:00 UTC,2019-05-13 19:30:00 UTC,53.964495760800006,151.4247080638,273358410,273397860
91,7311778b09f32458578add0df348f889.1,2019-05-27 03:40:00 UTC,2019-05-27 17:50:00 UTC,53.26989216279552,151.85287730297264,273358410,273370230
92,4ec1123134a4fe882945e4ad1bc625a3.1,2022-02-10 00:00:00 UTC,2022-02-11 17:40:00 UTC,57.4191342617225,144.99045461714982,273358410,273290040
93,8cb7343c87962ea271cfb48f73003764.1,2022-04-15 00:00:00 UTC,2022-04-17 03:40:00 UTC,56.79159524320169,149.49397645036282,273358410,273873400
94,5773d9889a80c16690c7c09a518b1574.1,2018-01-24 07:10:00 UTC,2018-01-24 22:40:00 UTC,54.11123083678776,155.64983159300817,273358410,273440610
95,19693803d956e016acbe88bbb5e430c0.1,2018-04-27 02:20:00 UTC,2018-04-27 04:40:00 UTC,60.287736038350005,169.24128309355004,273358410,273399890
96,fa5f171ea036e6b818ca8934d5bb5309.1,2021-03-19 21:30:00 UTC,2021-03-21 06:20:00 UTC,55.94281627089744,150.0951934580972,273358410,273451840
97,f3d7326c8ba9a3c3b7eec1e7e6a08f72.1,2018-01-13 07:20:00 UTC,2018-01-13 19:10:00 UTC,55.41733273773409,155.08893122650375,273358410,273387130
98,ec4bfbb4a3cfdc7ca092c45415bedffc.1,2019-10-12 00:00:00 UTC,2019-10-12 08:30:00 UTC,58.06409921062766,157.24994936767445,273358410,273842300
99,bf0f6ad1ce9ba7ef5e6be0c31c42e033.1,2021-07-21 05:20:00 UTC,2021-07-22 19:50:00 UTC,58.012741946228246,162.02764370316234,273358410,273451840
100,11a75be3f5b69b86fb1ddb2fd62be262.1,2022-12-11 00:00:00 UTC,2022-12-11 06:20:00 UTC,55.42466812764243,155.17044960734546,273358410,273388860
101,1c1e7639c2a1bad10750466c04673f62.1,2019-03-25 11:50:00 UTC,2019-03-26 12:10:00 UTC,54.94782271355776,151.23239659637863,273358410,273845900
102,f91913ed4d336ab228508ad104138544.1,2019-10-22 05:30:00 UTC,2019-10-22 12:50:00 UTC,48.0628598298,140.3235411042,273358410,273445180
103,091ce61f90548b214b1b346f0f25366d.1,2016-01-28 21:00:00 UTC,2016-01-28 23:30:00 UTC,57.1773682681,148.8362570474,273358410,273899500
104,c2cdb035cd2bcc7a4ea3dff645ff8b0b.1,2014-03-04 00:00:00 UTC,2014-03-04 23:50:00 UTC,55.31583313869999,155.2820036094,273358410,273359300
105,9936c74713fad9f4826c20e9c816d9df.1,2021-12-04 02:40:00 UTC,2021-12-04 23:50:00 UTC,43.7068058467,145.8839233375,273358410,273440690
106,f982ed7a5568757ab112b05b2b5f8337.1,2022-12-30 00:00:00 UTC,2022-12-30 08:30:00 UTC,52.6012434916,158.5116497828,273358410,273399670
107,9a61f68e27c9bad364e5d9e16ebc4e11.1,2020-11-03 02:10:00 UTC,2020-11-03 04:20:00 UTC,43.6989805705,145.89012471855003,273358410,273425630
108,d30c7ca45d98c4211c2fa35e162de194.1,2021-04-01 00:00:00 UTC,2021-04-01 18:50:00 UTC,56.808203367,150.11767853565,273358410,273451840
109,5f83da1c733cb1d67b69965bc714946f.1,2019-12-11 06:50:00 UTC,2019-12-11 21:00:00 UTC,55.25779138627286,155.42136551803787,273358410,273840400
110,5d3dec13875a108a478332be8285eb3e.1,2019-05-16 02:10:00 UTC,2019-05-16 14:10:00 UTC,56.86847703444286,148.36319423512091,273358410,273370280
111,0bd8c6bf788e99097fbac0d349b9b376.1,2022-01-30 00:00:00 UTC,2022-01-30 06:10:00 UTC,58.570324723736206,151.26301567526028,273358410,273565500
112,99446cccbb1ddc3823229c043709d83a.1,2018-03-06 07:00:00 UTC,2018-03-06 12:10:00 UTC,58.48252082415,154.19669109315,273358410,273353060
113,d6791d45292a1324c1c062b38600715e.1,2020-12-05 03:00:00 UTC,2020-12-05 18:00:00 UTC,55.455314220616906,155.1850840312479,273358410,273388860
114,f73382df46f5cba9ae51da9bfebb9708.1,2018-04-25 06:50:00 UTC,2018-04-25 11:00:00 UTC,60.3968091835,169.50823053135,273358410,273436440
115,ca14c58c7dce4348ac7d7f459a3c6a94.1,2022-10-07 02:50:00 UTC,2022-10-07 22:10:00 UTC,59.0138758746,148.07170301994998,273358410,273312460
116,4b35f2f0245cf08548dd954d12c4e952.1,2021-07-16 14:30:00 UTC,2021-07-17 04:50:00 UTC,59.92050237857183,164.581020319369,273358410,273840400
117,c47cd17647d49a31492287a09c9be8f9.1,2020-12-10 20:10:00 UTC,2020-12-11 06:40:00 UTC,58.379682719483874,151.79848592795605,273358410,273845610
118,c54e1ece87bf3694f28eda33db99b7af.1,2022-10-08 00:00:00 UTC,2022-10-08 10:00:00 UTC,59.020508843,148.07773668124997,273358410,273416010
119,c23be7eb39007b9ee2c8330e0f177876.1,2015-03-11 20:00:00 UTC,2015-03-11 23:50:00 UTC,56.9094716811,155.8107804447,273358410,273447080
120,b394e4d8df1ddec0c741821e9bb8631c.1,2019-05-02 12:40:00 UTC,2019-05-02 16:10:00 UTC,51.64508904379999,143.77264006975,273358410,273372840
121,3c4cbc5bbdb4bfe17211b8ad1c089cde.1,2022-04-18 10:20:00 UTC,2022-04-18 22:50:00 UTC,57.491571791329925,151.4520894369551,273358410,273350850
122,bb20a3297ba93af9b0d99c734395d7f9.1,2019-05-24 21:10:00 UTC,2019-05-25 09:30:00 UTC,57.6997846127504,148.73192506760833,273358410,273351500
123,63f58d4648da275f7ed267f3f766323b.1,2021-08-18 14:50:00 UTC,2021-08-19 15:40:00 UTC,52.85291265384392,160.6210821948937,273358410,273290040
124,a1075aaf3b103ebd298a51cf34120198.1,2019-05-24 08:10:00 UTC,2019-05-24 15:30:00 UTC,56.90478313813803,148.89625474129434,273358410,273370280
125,8a17aa0c4a3df621995a019dfdba5ca6.1,2022-10-06 02:10:00 UTC,2022-10-06 23:30:00 UTC,58.74735589270081,148.0596453941484,273358410,273436430
126,73d043bd67d26255e92015aa2ea8d345.1,2014-11-27 00:00:00 UTC,2014-11-27 14:10:00 UTC,59.1723783139,143.14770924175,273358410,273890100
127,5747f0559b33cf0cabafa3b90d48dc2a.1,2022-08-13 11:20:00 UTC,2022-08-13 18:50:00 UTC,61.200267545904445,173.9021185237776,273358410,273411580
128,77e3a44831d0410bad1564ca00fff258.1,2015-05-03 12:10:00 UTC,2015-05-03 15:40:00 UTC,43.8773188975,146.1109855835,273358410,273899000
129,9f2a12d25ae6d096537640afc4b3685e.1,2017-07-23 06:20:00 UTC,2017-07-23 18:40:00 UTC,59.5241577975783,163.34200650440465,273358410,273846400
130,16d1aad0cdb01ed3da73388f1b373c5d.1,2019-07-15 10:00:00 UTC,2019-07-15 23:50:00 UTC,59.5373239453531,163.3350894706593,273358410,273331980
131,75f48e438935f13c857ba49bbbdc7057.1,2021-11-13 09:50:00 UTC,2021-11-13 23:50:00 UTC,43.9092571129,146.141520859,273358410,273440690
132,0bd56609f589c47beb4534bab1018a92.1,2022-10-14 06:40:00 UTC,2022-10-14 09:40:00 UTC,53.74816492865,155.5629627122,273358410,273388860
133,6c3bba9ba51084e0312809748cea1a0c.1,2018-05-04 07:50:00 UTC,2018-05-05 06:40:00 UTC,61.79998079936176,177.6134590233143,273358410,273386230
134,202090dae3a4f4760fbc61414d206940.1,2022-10-09 09:50:00 UTC,2022-10-10 22:50:00 UTC,59.01958080528349,148.0828919892646,273358410,273311650
135,a04035967623fd27e986e2fdc9e1e72a.1,2019-06-01 00:20:00 UTC,2019-06-01 09:20:00 UTC,50.72680549859859,154.1883199600143,273358410,273398450
136,289d69e90ac2506b0c1788f46959518a.1,2021-05-22 03:30:00 UTC,2021-05-22 11:10:00 UTC,49.84754739460001,155.7902893299,273358410,273394950
137,fc30820520ffac50e022dfe90d42eccf.1,2022-10-04 11:40:00 UTC,2022-10-04 16:30:00 UTC,58.9996024353,147.99484325660003,273358410,273313640
138,f4dc82d868dccc705c60246cd6290603.1,2020-10-11 21:00:00 UTC,2020-10-11 23:50:00 UTC,51.94123350245,155.95680524125,273358410,273388860
139,290b8fd07e854a201763d7af5006eaf9.1,2019-05-28 00:00:00 UTC,2019-05-28 09:40:00 UTC,52.90511659676494,152.2617531657269,273358410,273841100
140,a18fa446f3709dab1717d56d59d7ea15.1,2020-10-17 07:00:00 UTC,2020-10-17 20:20:00 UTC,57.474544079050006,143.635406025,273358410,273411800
141,1a67b3cd6fe8400bf3a3621d6014802c.1,2022-04-13 10:30:00 UTC,2022-04-14 06:30:00 UTC,57.4392105192916,150.51463175795587,273358410,273424560
142,23af1f78b7ad97a2c6ce90c7b397bf17.1,2021-03-10 09:30:00 UTC,2021-03-11 07:10:00 UTC,55.059731498733335,150.7234952829102,273358410,273435010
143,3cb0aca410a5cf84ac42c4592427d4e2.1,2018-05-02 07:10:00 UTC,2018-05-02 19:00:00 UTC,62.28921236450312,177.78655449792575,273358410,273351500
144,ca308a59428ae99af9aec0c68302b7aa.1,2020-02-16 21:40:00 UTC,2020-02-17 23:50:00 UTC,54.14666824684734,155.4212747917751,273358410,273425630
145,f722d993445dc6573fb2da4143d7b9bc.1,2019-10-02 08:00:00 UTC,2019-10-02 22:00:00 UTC,58.90426251935,156.34367970054998,273358410,273841100
146,c58be9a9e01b81bcbc835af19efdd47b.1,2020-02-12 14:00:00 UTC,2020-02-12 18:10:00 UTC,55.2658298616,155.15873243635,273358410,273565500
147,8ae39469b7830a8af23f1f54acd5aa90.1,2021-03-21 14:10:00 UTC,2021-03-22 12:30:00 UTC,56.05573892501173,149.92261009041633,273358410,273399670
148,7831e2da151a867833b3c2456aecc129.1,2022-12-23 03:40:00 UTC,2022-12-23 23:20:00 UTC,59.35427755745556,148.33533579497333,273358410,273399670
149,89ab8b52138d27fc9dbd06e54fe065e6.1,2021-07-17 12:10:00 UTC,2021-07-18 10:50:00 UTC,59.23422101206501,164.00061125063195,273358410,273399670
150,ceebb6ef43ed56b591e6766e41274e8f.1,2018-04-24 21:20:00 UTC,2018-04-25 05:40:00 UTC,60.39682119363,169.5068063273389,273358410,273893200
151,9e82f4e426e7ba88224229e443c695be.1,2020-08-25 06:30:00 UTC,2020-08-25 12:30:00 UTC,61.91572302315,179.19180441395002,273358410,273438230
152,01c68f07e891abbcabf08d9e00db6ec4.1,2022-12-02 04:10:00 UTC,2022-12-03 11:30:00 UTC,59.08009705530973,143.284004673235,273358410,273311650
153,46de62ee8a2df45f308e47bb63eff0df.1,2022-04-14 06:50:00 UTC,2022-04-14 17:20:00 UTC,57.25308478561441,150.35763681036954,273358410,273370280
154,55e0ed7fe2fc5dae4fb98ac85d835a96.1,2013-08-13 00:00:00 UTC,2013-08-13 15:20:00 UTC,49.269374304,143.8081205856,273358410,273447080
155,05be173b1299390df94c84219f931c41.1,2019-03-22 04:10:00 UTC,2019-03-22 10:30:00 UTC,55.702820012366665,151.32974912118,273358410,273399670
156,cbd0f1f7e7dbfa82957b14fb98fbc84f.1,2018-03-01 10:30:00 UTC,2018-03-02 02:00:00 UTC,58.25816993451275,154.3308331794946,273358410,273441610
157,6c5b995d507d5e11fd8331a1e1e31711.1,2020-08-23 15:10:00 UTC,2020-08-24 16:20:00 UTC,62.314793302559934,177.1038908748209,273358410,273440690
158,43f4636cfa3d2e709c28fbfcef954f4e.1,2019-12-07 21:30:00 UTC,2019-12-08 13:30:00 UTC,55.1850259152,155.44761333573095,273358410,273895110
159,699693ad45ca35e39371af16df0b27c3.1,2022-04-17 20:30:00 UTC,2022-04-18 08:20:00 UTC,57.54554630765715,151.1712330248858,273358410,273845610
160,6ff1c171436cb292f28eb5e15bf1f491.1,2019-06-03 08:00:00 UTC,2019-06-03 15:30:00 UTC,57.96122265289474,150.94820902292133,273358410,273444180
161,31770c54bd75792f58d7bc2d4065a8b4.1,2018-11-15 10:10:00 UTC,2018-11-15 17:30:00 UTC,58.98070772075,147.3550810521,273358410,273426900
