,vessel.mmsi,vessel.name,vessel.flag
42127,525101466,NAGA MAS PERKASA 89,IDN
42130,636012749,ECUADOR STAR,LBR
42131,372594000,EURO STAR,PAN
42174,356514000,HAIFENG 618,PAN
42363,341307000,NOVIY SVET,KNA
42366,412420329,XINZHOULUN,CHN
42402,273324210,ARCTIC,RUS
42569,273213710,FRIO KIANIT,RUS
42660,412401230,MINGFA,CHN
42687,366899490,EASTERN WIND,USA
42691,374612000,YONG XIANG 7,PAN
42751,224129000,VIVER ATUN UNO,ESP
42757,416110700,HO YUAN,TWN
42895,306124000,ORANGE STRAIT,BES
42914,273810710,PIOTR.ZHITNIKOV,RUS
43337,354294000,COOL GIRL,PAN
43360,341096000,SUNNY MARIA,KNA
43361,576688000,FRIO DOLPHIN,VUT
43389,374290000,MING HANG 8,PAN
43488,412549015,NINGTAILENG8,CHN
43699,354062000,HAI FENG 668,PAN
43787,273385120,URGULL,RUS
43987,431013322,NAMIICHIMARU NO56,JPN
43995,367492890,ISLAND TRADER,USA
44001,258139000,ANTARCTIC SEA,NOR
44003,271072836,EYUPOGLU KARDESLER-3,TUR
44024,316013660,COLBY PERCE,CAN
44025,412421078,ZHONG JU LENG1,CHN
44266,374083000,PS REEFER,PAN
44272,367019320,LOGGER,USA
44273,412549513,FU YUAN YU YUN 088,CHN
44280,636017108,CHIKUMA,LBR
44454,273892210,GEROI SIVASHA,RUS
44461,273428090,TAVR,RUS
44515,367108420,AFOGNAK,USA
44518,271072487,FEKA,TUR
44520,311011400,GREEN COOLER,BHS
44521,412676880,"FU YUAN YU F98,",CHN
44522,225941860,YAIZA OCTAVO,ESP
44590,273354770,CANARIAN REEFER,RUS
44918,273432030,ARCTIC SPIRIT,RUS
45015,273511500,GIBRALTAR,RUS
45119,412694950,FU YIAN YU F86,CHN
45147,338167548,ISLAND DANCER,USA
45152,273457850,PREGOLSKIY,RUS
45222,273436860,SPOKOYNYY,RUS
45226,441473000,LAKE PEARL,KOR
45230,412420829,MING FA,CHN
45326,412549528,XIN HAI LENG 1,CHN
45390,273557400,KAPITAN LAZAREV,RUS
45391,257430000,RO FJORD,NOR
45413,416064900,DONG HORNG NO.899,TWN
45628,316007244,WESTERN COMMANDER,CAN
45633,355802000,NEW TAKATSUKI,PAN
45643,273441670,JUPITER,RUS
45878,370981000,ANGEL I,PAN
45910,440220000,ORION NO.1,KOR
45915,271073327,SURSAN 29,TUR
45938,672525000,MAJD,TUN
45946,431100318,HIYOSHI MARU,JPN
45960,273432430,VOLKHOV,RUS
46135,413205170,JULONG1,CHN
46186,356878000,SHIN HANG 6,PAN
46214,367669370,SBS PROVIDER,USA
46247,273350580,ARKADIJA,RUS
46456,238187240,MARINERO2,HRV
46457,341104000,FRIO VLADIVOSTOK,KNA
46459,355720000,GLOBAL MARINER,PAN
46598,373755000,FRIO IONIAN,PAN
46603,224739000,V CENTENARIO,ESP
46639,273313470,ANATOLIY LARIN,RUS
46788,725003401,GRIP ARCTIC,CHL
46789,563418000,CHITOSE,SGP
47125,273433140,CRYSTAL AMAZONIA,RUS
47214,354469000,HAI FENG 658,PAN
47262,577077000,TAIHO MARU,VUT
47298,273825200,PREDSEDATEL GANSLEP,RUS
47313,636013648,WIND FROST,LBR
47317,273397950,TAKIL,RUS
47334,273374930,BALTIC FORWARD,RUS
47370,273217620,OSTROVNOY-12,RUS
47386,440113000,PHAROSTAR,KOR
47394,351960000,MING HANG 5,PAN
47736,725001437,PATAGON VIII,CHL
47738,525800546,KM.PRIMA UTAMA JAYAI,IDN
47739,441759000,SEIN SUN,KOR
47758,338132058,PAVLOF,USA
47760,725004230,SEIKAPP,CHL
47763,412331167,LURONGYUANYUYUN998,CHN
47871,377907051,DAE YOUNG 112,VCT
47872,273430160,RUSTICA,RUS
47923,311004000,GREEN MAVERIC,BHS
47924,667003248,ZHONG ZHOU 1,SLE
47926,273344710,ICE BREEZE,RUS
47967,277327000,LIBRA,LTU
47970,371210000,RAINFROST,PAN
47971,367019340,GENE S,USA
47975,431009992,KIYOMARU NO.81,JPN
47978,273398570,POMOR,RUS
48134,412331208,FV.LUWEIYUANYUYUN777,CHN
48217,357735000,FRIO MOGAMI,PAN
48274,273394490,CRYSTAL ASIA,RUS
48455,273421150,SVYATOY  VLADIMIR,RUS
48774,273844700,KAPITAN STEKOLSCHIKO,RUS
48796,366888160,CAPE ST JOHN,USA
48797,273415570,ANTARES,RUS
48873,367122990,CRANE,USA
48877,271072835,KILIC 18,TUR
48880,273219590,FRIO ANTWERP,RUS
49001,273894500,NEPTUN-2,RUS
49009,356636000,NO.1 BARON,PAN
49024,354871000,FRIO OCEANIC,PAN
49188,636018499,LAGOON PHOENIX,LBR
49207,412549166,XING WANG 99,CHN
49263,353242000,OSTROV BERINGA,PAN
49265,577102000,HARU,VUT
49289,372538000,HUAN YU 1,PAN
49290,525500839,BANDAR NELAYAN 2017,IDN
49615,273317370,MERCURY,RUS
49876,351020000,SHUN ZE LENG 6,PAN
50174,316015660,AQUA TROMOY,CAN
50205,525600916,KM UNITED XVII,IDN
50210,416788000,CHANG CHING NO.1,TWN
50220,224443000,SANTINA,ESP
50226,431006609,ISHIDAMARU NO52,JPN
50288,273561800,SARGAN,RUS
50381,355141000,YUNG DA FA 102,PAN
50390,367575190,ARCH 1,USA
50393,273299190,POSYET,RUS
50438,636016916,GREEN TOLEDO,LBR
50439,273569400,SVYATITEL NIKOLAY,RUS
50524,431200142,GENPUKUMARU NO.61,JPN
50527,416730000,LIAN JYI HSING,TWN
50809,225461000,GARBOLA,ESP
50810,351822000,TAI FU NO.3,PAN
51003,577082000,MV.TALOFA,VUT
51048,271073511,ATASOY AHMET,TUR
51051,367488280,MUSKRAT,USA
51053,431401161,33KAIKOMARU,JPN
51133,273459400,TAMARA,RUS
51156,273429140,VASILIY POLESHCHUK,RUS
51520,273815080,AMURSKOE,RUS
51542,273428710,MV KAPITAN KANTSIBER,RUS
51602,576395000,YU HSIANG MARU,VUT
51611,368682000,COASTAL TRADER,USA
51618,413312990,HENG HONG 5,CHN
51719,273847300,VALENTIN,RUS
51723,636017301,FUTAGAMI,LBR
51753,373451000,ZEFYROS REEFER,PAN
51854,367039940,NOTORIOUS,USA
51856,367176240,SEA ERN,USA
51882,412549499,FUYUANYUYUN877,CHN
51913,525500840,BANDAR NELAYAN 271,IDN
52104,273354740,SARONIC BREEZE,RUS
52334,273449760,PLUTONAS,RUS
52425,366721880,DILIGENCE,USA
52426,273436790,PETERGOF,RUS
52489,367676010,POLAR LADY,USA
52492,367012650,BARONESS,USA
52504,273383970,BOSFOR VOSTOCHNY,RUS
52720,352475000,DINOK,PAN
52729,374410000,YONG XIANG 8,PAN
52780,306120000,PATUDO,BES
52781,412660240,HAI FENG 823,CHN
52785,374830000,SEIN GRACE,PAN
52807,273379740,FRIO FORWIN,RUS
52809,367489280,ALASKAN GIRL,USA
52839,441720000,LAKE WIN,KOR
52874,440217000,BADARO,KOR
52945,351478000,ATMODA,PAN
52995,725003720,SAGA,CHL
52999,311040500,GREEN EGERSUND,BHS
53001,671918000,QIAN YUAN,TGO
53021,273349630,ZODIAK,RUS
53184,725000963,RONIA PACIFIC,CHL
53190,412549338,DAPINGYUYUN99,CHN
53283,416602000,SHUN TIAN FA NO168,TWN
53504,440014000,LAKE NOVA,KOR
53555,374317000,TAI FU NO.1,PAN
53570,577132000,CHIKUMA,VUT
53587,273348810,ICE STREAM,RUS
53790,367119930,NAKNEK SPIRIT,USA
53793,636012261,FRIO OLYMPIC,LBR
53798,636014471,TAGANROGSKIY ZALIV,LBR
53842,636091097,PRINCE OF TIDES,LBR
53845,273833000,DORIDA,RUS
53885,273820900,NADIR,RUS
53905,636013153,WHITNEY BAY,LBR
53926,257659000,RONJA FJORD,NOR
53930,273353310,NADEZHDA,RUS
53985,371719000,DA FENG MARINER,PAN
54046,256384000,SANTINA,MLT
54055,273435250,B PREOBRAZHENIYA,RUS
54077,368219000,COASTAL NAVIGATOR,USA
54078,267181950,TAMAR,SVK
54206,367040180,GANDIL,USA
54223,357020000,TIARA 108    !,PAN
54224,273253100,KRONSHTADTSKIY,RUS
54331,249665000,GREEN GLACIER,MLT
54332,671035100,HUA JIAN 1,TGO
54400,357433000,BAO REEFER,PAN
54551,374813000,FRIO MARATHON,PAN
54595,273420240,KOMMUNARY NIKOLAYEVA,RUS
54886,371031000,QIAN YUAN,PAN
54887,273351900,AMEGA,RUS
55038,357497000,TAI JI,PAN
55151,273385860,SLAVYANKA,RUS
55383,412331049,LURONGYUANYUYUN001,CHN
55393,636017468,TENHO MARU,LBR
55550,367107030,AKEMI,USA
55553,273453980,ZALIV PROSTOR,RUS
55693,354962000,FRIO STAR,PAN
55705,412425561,ZHEDAIYU10004,CHN
55714,325753000,MV OCEAN STAR 96,DMA
55716,529606000,MIN TAI LENG,KIR
55721,371295000,HAI FA,PAN
55741,441034000,SUN FLOWER 7,KOR
55765,373381000,FUTAGAMI,PAN
55937,351938000,VOLTA VICTORY,PAN
55951,273455510,LEV SHCHEGOLEV,RUS
55952,352199000,SEA TRADER I,PAN
55980,525600227,NUSANTARA 89,IDN
55981,368094530,ALASKA EAGLE,USA
55983,273817020,ICEBERG,RUS
56062,440046000,SEIWA,KOR
56239,273316080,OLA,RUS
56241,440116000,SALTLAKE,KOR
56266,273816020,KORSAKOV,RUS
56616,356386000,SUAH,PAN
56632,356517000,ASIAN COSMOS,PAN
56645,258085000,RONJA CHALLENGER,NOR
56648,353482000,TAI NING,PAN
56660,431601301,DAIEIMARU NO.58,JPN
56664,259758000,OCEAN FRESH,NOR
57368,370686000,YUN RUN 8,PAN
57382,273816010,BEREG MECHTY,RUS
57395,366164050,ST.JUDE,USA
57396,577169000,TAISEIMARU NO.15,VUT
57399,273313950,SIRIUS,RUS
57513,725001031,RIO DULCE III,CHL
57515,725001940,PATAGON III,CHL
57516,372107000,FRIO OLYMPIC,PAN
57613,431401238,KAISEI NO.31,JPN
57616,273442740,BUKHTA NAGAEVA,RUS
58090,725002370,PATAGON IV,CHL
58334,372199000,SEIN PRINCESS,PAN
58338,576419000,MEITA MARU,VUT
58346,356609000,FRIO LAS PALMAS,PAN
58452,273331810,AFINA,RUS
58511,440222000,LAKE CASTLE,KOR
58517,273413800,MORSKOY PRIBOY,RUS
58523,412217977,HAOXIANG  6,CHN
58524,351383000,CHENG HANG,PAN
58701,413459190,YONG FA YUN 12,CHN
58719,308564000,GREEN NOVA,BHS
58732,366761170,PACIFIC PRODUCER,USA
58733,341229000,ALEXANDER,KNA
58742,355874000,JONATHAN ACE,PAN
58756,636017556,ZHONG XIANG,LBR
58765,273439810,ATMODA,RUS
58879,636013146,ACONCAGUA BAY,LBR
58936,372387000,HUA JIAN 107,PAN
58938,576414009,TENHO MARU,VUT
58940,356962000,URUGUAY REEFER,PAN
58942,373897000,FRIO DOLPHIN,PAN
58952,374198000,HAI FENG 718,PAN
59326,271056075,AKUA GROUP 3,TUR
59347,273356290,VITALIY SHMYKOV,RUS
59620,525301809,GOLDEN TUNA 99,IDN
59661,273894400,KORSAR,RUS
59665,576732000,SHOTA MARU,VUT
59724,257255000,FROYSTRAND,NOR
59725,416001900,YUAN TAI NO.806,TWN
59852,525022431,SANJAYA FISHERINDO,IDN
59853,257859000,SILVER COPENHAGEN,NOR
59855,311000713,ORANGE SEA,BHS
59860,441258000,LAKE AURORA,KOR
59900,357832000,YONGXIANG9,PAN
60006,725001072,VALI,CHL
60013,616885000,SOLARTE,COM
60015,412331493,LURONGYUANYUYUN899,CHN
60019,725004350,ORCA ONA,CHL
60021,576728000,LUNG YUIN,VUT
60194,273310240,APOLLO FLYER,RUS
60360,273818000,DIONA,RUS
60397,431100732,NO.35 YAMASENMARU,JPN
60410,353981000,MV FRIO HELLENIC,PAN
60423,271072043,ERGUN KARD. BALIKC 2,TUR
60424,273316230,BALYUZEK,RUS
60720,214182700,OCEAN STAR 98,MDA
60721,725000962,RONIA AUSTRAL,CHL
60723,273442580,ZARYA,RUS
60840,412440781,FUYUANYUYUN 992,CHN
60997,353982000,FRIO ATHENS,PAN
61001,525700912,KM.SENTOSA XXIV,IDN
61002,219667000,IVALO ARCTICA,DNK
61003,725000662,FORSETI,CHL
61004,616999336,DUBREKA,COM
61005,273421300,PYOTR BOGDANOV,RUS
61057,341009000,FRIO MURMANSK,KNA
61069,273313840,AKASHIYA,RUS
61171,441377000,CHERRY STAR,KOR
61180,725003109,SEIBRIS,CHL
61181,273342230,AMBER BALTIC,RUS
61448,416702000,SHENG HONG,TWN
61846,273441710,FRIO MURMANSK,RUS
61921,529346000,FULL KUO SHIN,KIR
61954,457197000,HUASHENG,MNG
61955,412692990,HAIWANGLENG1HAO,CHN
61956,368175000,NAKNEK SPIRIT,USA
